Date/Time, Highest, Lowest, Duration, Seed, Breed, Deep, Cross, Seed Helped, Breed Helped, Deep Helped, Cross Helped
2018-06-05 16:11:00, 54.838, 53.664, 483401, 500, 1600, 800, 760, 500, 80, 55, 344
2018-06-05 16:23:13, 55.342, 55.014, 478646, 500, 1600, 800, 760, 0, 28, 28, 191
2018-06-05 16:42:19, 55.676, 55.184, 405191, 500, 1600, 800, 760, 0, 11, 4, 14
2018-06-05 16:51:35, 56.05, 55.28, 423274, 500, 1600, 800, 760, 0, 2, 5, 11
2018-06-05 16:59:30, 56.05, 55.28, 82909, 500, 1600, 800, 760, 0, 0, 0, 0
2018-06-05 17:02:14, 56.05, 55.28, 98410, 500, 1600, 800, 760, 0, 0, 0, 0
2018-06-05 17:06:30, 56.05, 55.28, 85499, 500, 1600, 800, 760, 0, 0, 0, 0
2018-06-05 17:10:02, 56.05, 55.28, 186000, 2000, 4580, 3100, 1900, 0, 0, 0, 0
2018-06-05 17:14:07, 56.05, 55.28, 189100, 2000, 4580, 3100, 1900, 0, 0, 0, 0
2018-06-05 17:35:23, 56.05, 55.494, 1212158, 2000, 4580, 3100, 1900, 0, 11, 8, 27
2018-06-06 08:45:14, 57.88, 56.72, 257894, 2000, 4580, 3100, 1900, 0, 49, 17, 34
2018-06-06 08:50:23, 57.88, 56.77, 86470, 500, 1600, 800, 760, 0, 1, 0, 5
2018-06-06 08:59:29, 57.88, 56.89, 95195, 500, 1600, 800, 760, 0, 1, 1, 2
2018-06-06 09:03:25, 57.88, 57.0, 89701, 500, 1600, 800, 760, 0, 0, 3, 3
2018-06-06 09:08:31, 57.88, 57.08, 261003, 2000, 4580, 3100, 1900, 0, 4, 0, 1
2018-06-06 09:19:45, 57.88, 57.1, 242461, 2000, 4580, 3100, 1898, 0, 0, 1, 2
2018-06-06 09:32:36, 57.88, 57.15, 242006, 2000, 4580, 3100, 1900, 0, 1, 1, 3
2018-06-06 09:47:46, 58.06, 57.17, 225969, 2000, 4580, 3100, 1898, 0, 0, 1, 1
2018-06-06 09:53:35, 58.06, 57.21, 87003, 500, 1600, 800, 760, 0, 1, 0, 2
2018-06-06 10:36:01, 58.06, 57.21, 89832, 500, 1600, 800, 760, 0, 0, 0, 0
2018-06-06 10:38:19, 58.06, 57.23, 101973, 500, 1600, 800, 760, 0, 2, 0, 0
2018-06-06 10:47:39, 58.06, 57.24, 237394, 2000, 4580, 3100, 1900, 0, 1, 0, 1
2018-06-06 10:54:56, 58.06, 57.31, 235153, 2000, 4580, 3100, 1900, 0, 2, 0, 1
2018-06-06 10:59:18, 58.18, 57.55, 246391, 2000, 4580, 3100, 1900, 0, 3, 2, 7
2018-06-06 11:02:52, 58.18, 57.63, 110783, 500, 1600, 800, 760, 0, 4, 2, 2
2018-06-06 11:13:19, 58.55, 57.87, 610883, 8000, 13380, 9700, 3840, 0, 9, 7, 3
2018-06-06 11:47:20, 59.04, 58.05, 630543, 8000, 13380, 9700, 3840, 0, 6, 6, 4
2018-06-06 12:01:20, 59.04, 58.18, 634165, 8000, 13380, 9700, 3840, 0, 4, 2, 5
2018-06-06 12:22:38, 59.04, 58.34, 655339, 8000, 13380, 9700, 3840, 0, 0, 1, 5
2018-06-06 12:40:31, 59.12, 58.35, 675880, 8000, 13380, 9700, 3840, 0, 2, 0, 0
2018-06-06 13:31:45, 59.12, 58.49, 566608, 2600, 7380, 3900, 4720, 0, 1, 0, 3
2018-06-06 13:42:27, 59.31, 58.56, 547745, 2600, 7380, 3900, 4720, 0, 1, 2, 2
2018-06-06 13:54:47, 59.31, 58.57, 525265, 2600, 7380, 3900, 4720, 0, 1, 1, 1
2018-06-06 14:06:17, 59.31, 58.6, 560532, 2600, 7380, 3900, 4720, 0, 0, 0, 1
2018-06-06 14:22:48, 59.31, 58.6, 541826, 2600, 7380, 3900, 4720, 0, 1, 0, 0
2018-06-06 14:38:18, 59.31, 58.6, 712438, 3200, 9460, 4900, 6160, 0, 0, 0, 0
2018-06-06 14:52:02, 59.31, 58.6, 687945, 3200, 9460, 4900, 6160, 0, 1, 0, 0
2018-06-06 15:07:11, 59.31, 58.61, 708422, 3200, 9460, 4900, 6158, 0, 0, 0, 1
2018-06-06 15:25:45, 59.31, 58.61, 711892, 3200, 9460, 4900, 6160, 0, 0, 0, 0
2018-06-06 15:43:26, 59.68, 58.67, 672633, 3200, 9460, 4900, 6160, 0, 0, 0, 3
2018-06-06 16:49:05, 59.68, 58.71, 500293, 2600, 7380, 3900, 4720, 0, 0, 0, 1
2018-06-06 16:57:28, 59.68, 58.72, 491764, 2600, 7380, 3900, 4720, 0, 0, 0, 1
2018-06-07 09:02:32, 59.68, 58.73, 577593, 2600, 7380, 3900, 5820, 0, 0, 1, 0
2018-06-07 09:14:36, 59.68, 58.77, 695566, 3200, 9460, 4900, 7558, 0, 1, 1, 1
2018-06-07 09:26:43, 59.68, 58.78, 696304, 3200, 9460, 4900, 7560, 0, 1, 0, 2
2018-06-07 09:39:11, 59.68, 58.82, 697236, 3200, 9460, 4900, 7560, 0, 2, 0, 0
2018-06-07 10:16:46, 59.68, 58.87, 690409, 3200, 9460, 4900, 7560, 0, 0, 0, 2
2018-06-07 10:29:26, 59.68, 58.87, 744673, 3200, 9460, 4900, 7560, 0, 0, 0, 1
2018-06-07 11:00:19, 59.68, 58.87, 687038, 3200, 9460, 4900, 7560, 0, 0, 0, 0
2018-06-07 11:15:51, 59.68, 58.89, 694000, 3700, 9960, 5400, 8160, 0, 0, 0, 1
2018-06-07 11:33:01, 59.68, 58.89, 707120, 3700, 9960, 5400, 8158, 0, 0, 0, 2
2018-06-07 11:47:20, 59.68, 58.89, 702352, 3700, 9960, 5400, 8160, 0, 0, 0, 0
2018-06-08 09:38:36, 59.68, 58.89, 705668, 3700, 9960, 5400, 8160, 0, 0, 0, 0
2018-06-08 10:06:52, 59.68, 58.91, 644030, 3700, 9960, 5400, 8160, 0, 1, 2, 1
2018-06-08 10:20:34, 59.68, 58.95, 705627, 3700, 9960, 5400, 8160, 0, 1, 0, 1
